Entity,Year,Population,"Electricity
 Generation (TWh)","Per capita 
electricity (kWh)",Coal %,Oil %,Gas %,Nuclear %,Solar %,Wind %,Hydro %,Other renewables %,Renewables %,Fossil fuels %,Low-carbon electricity %
Qatar,2019,2832000,44.216,"15,613.11",0.00,0.00,99.72,0.00,0.02,0.00,0.00,0.26,0.28,99.72,0.28
Reunion,2019,889000,3.178,"3,574.80",0.00,67.05,0.00,0.00,8.21,0.42,15.83,8.49,32.95,67.05,32.95
Romania,2019,19365000,59.867,"3,091.50",22.38,1.19,15.53,18.84,3.12,11.33,26.71,,,39.10,
Russia,2019,145872000,"1,043.838","7,155.85",15.91,1.42,46.74,17.49,0.06,0.01,18.06,0.30,18.43,64.07,35.93
Rwanda,2019,12627000,0.737,58.39,0.00,23.12,30.59,0.00,0.00,0.00,46.02,0.27,46.29,53.71,46.29
Saint Helena,2019,6000,0.007,"1,166.67",0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
Saint Kitts and Nevis,2019,53000,0.194,"3,660.38",0.00,95.88,0.00,0.00,0.00,4.12,0.00,0.00,4.12,95.88,4.12
Saint Lucia,2019,183000,0.383,"2,092.90",0.00,99.74,0.00,0.00,0.26,0.00,0.00,0.00,0.26,99.74,0.26
Saint Pierre and Miquelon,2019,6000,0.046,"7,722.22",0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
Saint Vincent and the Grenadines,2019,111000,0.105,942.94,0.00,72.61,0.00,0.00,2.23,0.00,25.16,0.00,27.39,72.61,27.39
Samoa,2019,197000,0.136,687.99,0.00,76.00,0.00,0.00,0.00,0.15,23.86,0.00,24.00,76.00,24.00
Sao Tome and Principe,2019,215000,0.090,418.60,0.00,92.59,0.00,0.00,0.00,0.00,7.41,0.00,7.41,92.59,7.41
Saudi Arabia,2019,34269000,386.957,"11,291.75",0.00,36.98,62.82,0.00,0.20,0.00,0.00,0.00,0.20,99.80,0.20
Senegal,2019,16296000,4.670,286.55,0.00,87.62,0.00,0.00,3.78,0.00,7.18,1.42,12.38,87.62,12.38
Serbia,2019,8772000,35.426,"4,038.49",69.59,0.00,0.00,0.00,0.04,0.18,29.91,0.28,30.41,69.59,30.41
Seychelles,2019,98000,0.415,"4,238.10",0.00,100.56,0.00,0.00,0.00,-0.56,0.00,0.00,-0.56,100.56,-0.56
Sierra Leone,2019,7813000,0.212,27.09,0.00,35.75,0.00,0.00,0.00,0.00,62.36,1.89,64.25,35.75,64.25
Singapore,2019,5804000,50.533,"8,706.64",0.00,28.29,68.42,0.00,0.40,0.00,0.00,2.89,3.29,96.71,3.29
Slovakia,2019,5457000,27.741,"5,083.59",8.44,1.93,6.95,55.36,1.84,0.04,17.85,,,17.31,
Slovenia,2019,2079000,16.192,"7,788.40",27.83,0.09,3.48,36.20,1.48,0.04,29.26,,,31.40,
Solomon Islands,2019,670000,0.111,165.17,0.00,93.37,0.00,0.00,3.01,0.00,0.00,3.61,6.63,93.37,6.63
Somalia,2019,15443000,0.351,22.72,0.00,94.03,0.00,0.00,4.16,1.80,0.00,0.00,5.97,94.03,5.97
South Africa,2019,58558000,229.973,"3,927.27",86.30,1.93,1.83,5.92,1.63,2.27,0.00,0.13,4.03,90.06,9.94
South Korea,2019,51225000,529.489,"10,336.54",42.17,1.10,25.73,26.22,2.35,0.50,0.62,1.30,4.78,69.00,31.00
South Sudan,2019,11062000,0.499,45.11,0.00,99.33,0.00,0.00,0.67,0.00,0.00,0.00,0.67,99.33,0.67
Spain,2019,46737000,274.775,"5,879.17",4.77,5.94,30.87,21.03,5.43,20.01,9.47,,,41.58,
Sri Lanka,2019,21324000,18.983,890.23,26.85,35.95,0.00,0.00,0.95,1.96,33.92,0.37,37.20,62.80,37.20
Sudan,2019,42813000,16.016,374.08,0.00,39.43,0.00,0.00,0.14,0.00,59.69,0.74,60.57,39.43,60.57
Suriname,2019,581000,1.803,"3,103.27",0.00,40.54,0.00,0.00,0.50,0.00,58.62,0.33,59.46,40.54,59.46
Swaziland,2019,1148000,0.534,465.16,0.00,46.82,0.00,0.00,0.19,0.00,14.61,38.39,53.18,46.82,53.18
Sweden,2019,10036000,170.630,"17,001.77",0.19,0.99,0.19,39.29,0.13,12.67,38.49,,,1.37,
Switzerland,2019,8591000,63.518,"7,393.55",0.00,1.16,0.00,39.79,3.37,0.22,50.36,5.10,59.04,1.16,98.84
Syria,2019,17070000,17.290,"1,012.91",0.00,47.42,47.42,0.00,0.00,0.00,4.96,0.19,5.16,94.84,5.16
Taiwan,2019,23774000,249.852,"10,509.45",45.40,3.37,34.42,12.40,0.99,0.00,2.02,1.39,4.41,83.19,16.81
Tajikistan,2019,9321000,18.185,"1,950.94",0.00,6.48,0.00,0.00,0.00,0.00,93.52,0.00,93.52,6.48,93.52
Tanzania,2019,58005000,8.092,139.50,0.00,16.09,53.65,0.00,0.25,0.00,29.75,0.26,30.26,69.74,30.26
Thailand,2019,69626000,182.124,"2,615.75",18.58,0.06,57.78,0.00,3.39,1.84,7.00,11.35,23.59,76.41,23.59
Togo,2019,8082000,0.288,35.64,0.00,7.52,1.64,0.00,1.50,0.00,87.60,1.74,90.84,9.16,90.84
Tonga,2019,104000,0.053,506.41,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
Trinidad and Tobago,2019,1395000,10.601,"7,599.04",0.00,12.63,87.33,0.00,0.04,0.00,0.00,0.00,0.04,99.96,0.04
Tunisia,2019,11695000,19.445,"1,662.68",0.00,0.00,96.89,0.00,0.80,2.31,0.00,0.00,3.11,96.89,3.11
Turkey,2019,83430000,290.967,"3,487.55",36.18,1.02,18.32,0.00,3.39,7.32,30.15,3.62,44.49,55.51,44.49
Turkmenistan,2019,5942000,21.185,"3,565.30",0.00,65.86,34.13,0.00,0.00,0.00,0.01,0.00,0.01,99.99,0.01
Turks and Caicos Islands,2019,38000,0.245,"6,447.37",0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
Uganda,2019,44270000,4.009,90.56,0.00,6.00,0.00,0.00,1.76,0.00,86.74,5.50,94.00,6.00,94.00
Ukraine,2019,43994000,145.721,"3,312.30",27.03,1.62,7.69,54.51,0.51,0.78,7.69,0.16,9.15,36.34,63.66
United Arab Emirates,2019,9771000,134.778,"13,793.64",0.00,1.12,95.97,0.00,2.91,0.00,0.00,0.00,2.91,97.09,2.91
United Kingdom,2019,67530000,322.468,"4,775.19",2.24,0.70,40.45,17.41,4.01,20.25,2.82,,,43.40,
United States,2019,329064992,"4,153.091","12,620.88",23.26,0.77,38.42,19.49,2.58,7.23,6.46,1.79,18.06,62.45,37.55
United States Virgin Islands,2019,105000,0.577,"5,498.41",0.00,98.44,0.00,0.00,1.56,0.00,0.00,0.00,1.56,98.44,1.56
Uruguay,2019,3462000,12.469,"3,601.58",0.00,0.00,-0.03,0.00,2.74,34.84,47.54,14.97,100.09,-0.03,100.09
Uzbekistan,2019,32982000,60.200,"1,825.24",18.89,2.25,64.25,0.00,0.01,0.00,14.60,0.00,14.61,85.39,14.61
Vanuatu,2019,300000,0.057,189.33,0.00,86.27,0.00,0.00,8.80,7.04,0.00,-2.11,13.73,86.27,13.73
Venezuela,2019,28516000,108.303,"3,797.96",0.00,0.00,34.88,0.00,0.01,0.08,65.03,0.00,65.12,34.88,65.12
Vietnam,2019,96462000,211.354,"2,191.06",45.95,1.46,18.87,0.00,2.80,0.30,30.59,0.04,33.73,66.27,33.73
Western Sahara,2019,#DIV/0!,0.000,0.00,,,,,,,,,,,
World,2019,7713467904,"25,821.588","3,347.60",35.17,3.47,23.52,10.52,2.71,5.44,16.54,2.63,27.32,62.17,37.84
Yemen,2019,29162000,4.093,140.34,0.00,58.40,36.22,0.00,5.38,0.00,0.00,0.00,5.38,94.62,5.38
Zambia,2019,17861000,14.249,797.79,11.17,5.42,0.00,0.00,0.05,0.00,82.80,0.56,83.41,16.59,83.41
Zimbabwe,2019,14645000,6.617,451.85,43.14,0.00,0.00,0.00,0.18,0.00,54.28,2.40,56.86,43.14,56.86
